county,fips,state,all_cause
District of Columbia,11001,District of Columbia,816.185944204403
Autauga County,1001,Alabama,1019.30505907496
Baldwin County,1003,Alabama,841.106629836048
Barbour County,1005,Alabama,983.589509832409
Bibb County,1007,Alabama,1105.35531252856
Blount County,1009,Alabama,1000.67406807497
Bullock County,1011,Alabama,1049.6946853708
Butler County,1013,Alabama,1103.34866804425
Calhoun County,1015,Alabama,1139.56012401317
Chambers County,1017,Alabama,1094.06317276723
Cherokee County,1019,Alabama,1052.24154618453
Chilton County,1021,Alabama,1082.72942930338
Choctaw County,1023,Alabama,960.532193348976
Clarke County,1025,Alabama,987.305107863291
Clay County,1027,Alabama,1057.33579393098
Cleburne County,1029,Alabama,1107.90130242476
Coffee County,1031,Alabama,953.246779180182
Colbert County,1033,Alabama,1034.84545669944
Conecuh County,1035,Alabama,1081.42937923755
Coosa County,1037,Alabama,996.439488281123
Covington County,1039,Alabama,1035.4915988053301
Crenshaw County,1041,Alabama,1088.83928771201
Cullman County,1043,Alabama,1078.12628008517
Dale County,1045,Alabama,956.811550558321
Dallas County,1047,Alabama,1211.39017336142
DeKalb County,1049,Alabama,1060.76903779693
Elmore County,1051,Alabama,993.288504179153
Escambia County,1053,Alabama,1107.61433200275
Etowah County,1055,Alabama,1163.30275901892
Fayette County,1057,Alabama,1134.58408085543
Franklin County,1059,Alabama,1205.96676117069
Geneva County,1061,Alabama,1029.34079757045
Greene County,1063,Alabama,1001.75259748961
Hale County,1065,Alabama,1070.79509039822
Henry County,1067,Alabama,952.963548994437
Houston County,1069,Alabama,926.07583130209
Jackson County,1071,Alabama,1124.89969508467
Jefferson County,1073,Alabama,993.800228638614
Lamar County,1075,Alabama,1062.66179144341
Lauderdale County,1077,Alabama,963.112401834625
Lawrence County,1079,Alabama,1120.19182030238
Lee County,1081,Alabama,964.354633387325
Limestone County,1083,Alabama,911.376863537386
Lowndes County,1085,Alabama,1149.25603444051
Macon County,1087,Alabama,1111.91065438423
Madison County,1089,Alabama,848.917389190274
Marengo County,1091,Alabama,1015.97056266744
Marion County,1093,Alabama,1069.21794989044
Marshall County,1095,Alabama,1097.22160653848
Mobile County,1097,Alabama,1012.38184019723
Monroe County,1099,Alabama,1000.97736911515
Montgomery County,1101,Alabama,963.969139495206
Morgan County,1103,Alabama,987.980996903533
Perry County,1105,Alabama,1187.95373928952
Pickens County,1107,Alabama,1065.77613894033
Pike County,1109,Alabama,1061.81570050782
Randolph County,1111,Alabama,1051.45167564375
Russell County,1113,Alabama,1046.44572950219
Saint Clair County,1115,Alabama,1083.45991932858
Shelby County,1117,Alabama,763.358851889131
Sumter County,1119,Alabama,956.750640957454
Talladega County,1121,Alabama,1101.24054483417
Tallapoosa County,1123,Alabama,1049.90129175066
Tuscaloosa County,1125,Alabama,993.32252952811
Walker County,1127,Alabama,1319.09690705261
Washington County,1129,Alabama,1051.142824168
Wilcox County,1131,Alabama,1155.87909276227
Winston County,1133,Alabama,1078.88148593179
Anchorage Municipality,2020,Alaska,773.212887559474
Bethel Census Area,2050,Alaska,999.737251058741
Bristol Bay Borough,2060,Alaska,869.377697970305
Fairbanks North Star Borough,2090,Alaska,748.34227773988
Haines Borough,2100,Alaska,703.249358398312
Juneau City and Borough,2110,Alaska,689.549184549663
Kenai Peninsula Borough,2122,Alaska,772.249279151279
Kodiak Island Borough,2150,Alaska,711.733878510158
Matanuska-Susitna Borough,2170,Alaska,818.088832121578
Nome Census Area,2180,Alaska,1076.61458362785
North Slope Borough,2185,Alaska,853.536916221919
Sitka City and Borough,2220,Alaska,696.314750822631
Southeast Fairbanks Census Area,2240,Alaska,811.30689067941
Valdez-Cordova Census Area,2261,Alaska,804.210661092569
Apache County,4001,Arizona,957.900664644023
Cochise County,4003,Arizona,786.722732748877
Coconino County,4005,Arizona,718.936244023315
Gila County,4007,Arizona,909.447733619106
Graham County,4009,Arizona,879.911673895388
Greenlee County,4011,Arizona,794.146987695623
Maricopa County,4013,Arizona,702.704575924037
Mohave County,4015,Arizona,945.711582442098
Navajo County,4017,Arizona,903.387484473255
Pima County,4019,Arizona,731.684554083775
Pinal County,4021,Arizona,653.163899231029
Santa Cruz County,4023,Arizona,597.130241348322
Yavapai County,4025,Arizona,759.962614704639
Arkansas County,5001,Arkansas,1075.3522188867
Ashley County,5003,Arkansas,1060.97968130583
Baxter County,5005,Arkansas,908.967302746765
Benton County,5007,Arkansas,758.786269467804
Boone County,5009,Arkansas,896.178828370807
Bradley County,5011,Arkansas,1083.93618497032
Calhoun County,5013,Arkansas,942.535884962195
Carroll County,5015,Arkansas,853.726763968255
Chicot County,5017,Arkansas,1105.14464660701
Clark County,5019,Arkansas,999.886476194217
Clay County,5021,Arkansas,1081.16589299565
